User Id,Course Id,Cummulative Time,Age,Recommended Age,Age Difference,Start Time,Last Event,Act Days,Absence Days,Quiz Average,Lessons Completed,Quiz Average Timespent,Average Login 2W,Course_Difficulty ,Prerequisites,survival_percentage
23392,1743,1980,12,12,0,1650841253,1650926616,2,0,100,1,255.81,2,0,1,0.285714286
23306,1743,900,12,12,0,1646603612,1659036992,2,142,76.67,3,139.92,2,0,1,0.285714286
23324,1743,7140,12,12,0,1646591614,1647044705,5,0,90,2,126.46,5,0,1,0.45
23322,1743,110040,12,12,0,1646518944,1664664735,23,187,56.69,8,279.15,23,0,1,0.65
23308,1743,14820,12,12,0,1646102196,1671570639,12,283,57.84,6,154.49,12,0,1,0.45
23305,1743,3000,12,12,0,1646052837,1654621690,3,96,90,1,550.67,3,0,1,0.428571429
23294,1743,22980,12,12,0,1645659874,1654884909,9,98,67.05,6,145.05,9,0,1,0.65
23276,1743,72240,12,12,0,1645233575,1649096079,22,23,70.23,10,267.66,22,0,1,1
23273,1743,16980,12,12,0,1645173711,1662426113,10,190,68.08,6,172.93,10,0,1,0.65
22111,1743,11400,12,12,0,1644248663,1651504054,5,79,74,3,236.44,5,0,1,0.45
23174,1743,7200,12,12,0,1643034135,1643070873,2,0,95,1,197.96,2,0,1,0.285714286
23079,1743,16140,12,12,0,1642965010,1645313166,8,19,70.46,10,203.31,8,0,1,0.65
22020,1743,16740,12,12,0,1642277358,1650743441,8,90,76.18,10,156.23,8,0,1,0.65
23172,1743,31920,12,12,0,1642024213,1659977796,14,194,83.12,6,279.5,14,0,1,1
22431,1743,6240,12,12,0,1641758169,1642875699,2,11,80,1,141.59,2,0,1,0.285714286
22960,1743,20820,12,12,0,1639188060,1646267749,7,75,90,1,202.56,7,0,1,0.65
22424,1743,4500,12,12,0,1637803766,1641246972,2,38,80,2,148.55,2,0,1,0.285714286
22423,1743,900,12,12,0,1637794080,1637797245,1,0,80,1,218.61,1,0,1,0.142857143
22416,1743,31860,12,12,0,1637641896,1642889831,14,47,53.87,10,94.89,14,0,1,0.65
22412,1743,174180,12,12,0,1637560656,1644358150,15,64,71.52,10,234.33,15,0,1,1
22370,1743,51060,12,12,0,1636920131,1642129013,12,48,77.02,9,93.13,12,0,1,1
22324,1743,5520,12,12,0,1636664934,1640210263,3,38,70,1,271.01,3,0,1,0.428571429
22314,1743,23820,12,12,0,1636582181,1641065291,6,46,45,7,96.86,6,0,1,0.65
22202,1743,3240,12,12,0,1636164804,1659400888,2,267,72.73,6,105.04,2,0,1,0.285714286
22215,1743,3300,12,12,0,1636140770,1647379378,2,128,55,1,229.46,2,0,1,0.285714286
22194,1743,25620,12,12,0,1635974081,1638026055,9,15,67.73,4,126.3,9,0,1,0.65
22193,1743,28440,12,12,0,1635967549,1636715351,7,2,73.64,6,210.73,7,0,1,1
22148,1743,1142220,12,12,0,1635481586,1637783448,8,19,64.5,7,137,8,0,1,0.65
22113,1743,3360,12,12,0,1635385235,1636064688,2,6,59.55,4,547.01,2,0,1,0.285714286
22053,1743,7320,12,12,0,1635201285,1635376312,4,0,65,1,193.93,4,0,1,0.45
22022,1743,22560,12,12,0,1634936353,1635449135,4,2,80,1,461.29,4,0,1,0.571428571
21956,1743,14100,12,12,0,1634269072,1644728549,10,111,64.16,8,189.23,10,0,1,0.45
21893,1743,15540,12,12,0,1634000401,1644034598,8,108,50,2,137.3,8,0,1,0.45
21854,1743,5460,12,12,0,1633660532,1635477166,3,18,70,2,181.12,3,0,1,0.428571429
20142,1743,24420,12,12,0,1631843616,1636316653,9,43,69.19,4,186.52,9,0,1,0.65
21830,1743,43920,12,12,0,1631738545,1663102150,14,349,80.39,6,180.57,14,0,1,1
